ID_Funcionario,Nome,Departamento,Cargo,Data_Contratacao,Treinamentos_Completos,Tickets_Resolvidos,Tickets_Resolvidos_No_Prazo,Tempo_Medio_Atendimento_Minutos,Porcentagem_Reducao_Custos,Porcentagem_Aumento_Conversao_Apos_Melhorias,Max_Bugs_Criticos
842060,Luara Silva,TI,junior,2020-09-09,2,8.0,83.0,20.0,11.05,10.15,9.0
532750,Thales Cavalcante,TI,junior,2023-05-28,2,217.0,265.0,52.0,3.64,7.09,4.0
208548,Ravi Lucca Costela,TI,junior,2015-07-24,3,15.0,300.0,75.0,14.53,13.9,8.0
21659,Aurora Melo,TI,junior,2019-09-27,10,255.0,21.0,6.0,12.93,6.06,9.0
279178,João Felipe Cunha,TI,junior,2017-01-26,10,185.0,90.0,49.0,0.01,4.3,4.0
108967,Letícia Sampaio,TI,junior,2023-04-06,12,169.0,65.0,63.0,11.5,2.52,6.0
680266,Léo Albuquerque,TI,junior,2015-05-13,15,233.0,49.0,28.0,8.68,13.93,6.0
993117,Ana Machado,TI,junior,2017-04-10,13,31.0,232.0,77.0,9.01,1.82,10.0
369505,Francisco Jesus,TI,junior,2015-10-01,2,57.0,222.0,25.0,8.84,11.4,6.0
75329,Agatha Borges,TI,junior,2018-09-01,7,46.0,243.0,85.0,1.28,3.72,6.0
359234,Théo Fernandes,TI,junior,2020-08-15,5,47.0,123.0,62.0,7.05,0.49,3.0
227643,Ryan da Mata,TI,junior,2015-06-19,11,197.0,163.0,37.0,2.81,5.43,8.0
992781,Dra. Sofia Caldeira,TI,junior,2020-05-17,4,150.0,215.0,46.0,4.1,12.52,10.0
914894,Agatha Siqueira,TI,junior,2023-06-14,6,22.0,234.0,24.0,9.35,5.96,1.0
221398,Sophia Pastor,TI,junior,2022-02-12,2,271.0,194.0,28.0,6.61,8.69,7.0
414089,Sophie das Neves,TI,junior,2020-01-20,12,117.0,111.0,85.0,10.45,8.1,6.0
860441,Eloá Fernandes,TI,junior,2018-09-27,5,176.0,244.0,21.0,11.62,11.83,6.0
407130,Julia Oliveira,TI,junior,2023-11-15,1,143.0,233.0,46.0,1.64,7.56,9.0
386805,Sophie Cardoso,TI,junior,2021-02-09,9,20.0,83.0,57.0,8.23,4.88,10.0
371865,Pedro Melo,TI,junior,2018-02-11,13,176.0,168.0,30.0,1.83,5.3,7.0
786234,Isabella Pinto,TI,junior,2016-10-05,6,28.0,159.0,34.0,6.8,2.36,3.0
69945,Isabel Melo,TI,junior,2019-10-19,2,119.0,93.0,31.0,5.0,2.52,5.0
273938,Thiago Aparecida,TI,junior,2022-07-30,11,106.0,22.0,42.0,0.56,5.53,3.0
406647,Ana Sophia Moreira,TI,junior,2015-06-24,1,135.0,243.0,59.0,4.82,7.13,2.0
148691,Marcelo Vargas,TI,junior,2017-12-15,7,100.0,175.0,13.0,5.25,14.52,7.0
876181,Luiz Otávio da Conceição,TI,junior,2017-02-13,13,194.0,127.0,33.0,5.44,2.7,2.0
602390,Henry Gabriel Almeida,TI,junior,2021-06-26,9,262.0,16.0,43.0,5.57,14.01,7.0
900572,Isabelly Araújo,TI,junior,2018-11-15,8,79.0,78.0,40.0,14.95,4.28,9.0
364256,Rael Teixeira,TI,junior,2022-10-08,6,36.0,60.0,12.0,11.86,0.39,6.0
571758,Manuella Dias,TI,junior,2023-04-03,6,98.0,184.0,15.0,14.86,11.09,3.0
717127,Yasmin Souza,TI,junior,2023-06-25,15,272.0,27.0,52.0,8.03,10.85,9.0
663209,Danilo Siqueira,TI,junior,2019-07-25,8,192.0,282.0,33.0,3.31,14.36,5.0
695346,André da Rosa,TI,junior,2023-03-11,3,162.0,18.0,80.0,14.79,7.08,3.0
391586,Dr. Enzo Gabriel Marques,TI,junior,2023-10-21,3,73.0,13.0,40.0,8.1,11.32,8.0
127013,Lavínia Cassiano,TI,junior,2015-03-10,4,224.0,226.0,82.0,10.43,10.56,4.0
4731,Milena Cavalcante,TI,junior,2023-04-14,8,28.0,114.0,50.0,0.84,0.14,2.0
860431,Gustavo Vasconcelos,TI,junior,2020-02-18,11,69.0,270.0,62.0,8.5,4.07,9.0
846789,Lorenzo Peixoto,TI,junior,2018-01-27,2,172.0,51.0,34.0,2.08,4.52,5.0
314628,Emanuel Casa Grande,TI,junior,2021-07-11,6,90.0,181.0,63.0,7.19,2.66,4.0
610533,Thales Caldeira,TI,junior,2021-02-15,12,178.0,164.0,61.0,8.25,14.3,5.0
123264,Antony Caldeira,TI,junior,2020-06-06,6,110.0,59.0,10.0,10.06,7.34,10.0
954869,Clarice Cunha,TI,junior,2022-02-15,3,172.0,127.0,44.0,8.06,13.79,9.0
634566,Luara Pires,TI,junior,2022-01-03,1,147.0,42.0,28.0,6.77,0.8,4.0
951721,José Pedro Sampaio,TI,junior,2019-02-26,12,41.0,225.0,37.0,0.89,4.16,7.0
981839,Mathias Cavalcante,TI,junior,2019-06-10,2,16.0,188.0,65.0,11.33,6.44,1.0
578691,Antony Sousa,TI,junior,2015-08-01,14,74.0,180.0,65.0,4.27,14.12,0.0
502961,Helena Moura,TI,junior,2015-11-01,11,296.0,280.0,12.0,12.91,8.53,4.0
7196,Ana Vitória Marques,TI,junior,2019-10-20,13,36.0,212.0,63.0,2.46,14.3,5.0
915393,Rafael Marques,TI,junior,2018-04-27,13,149.0,153.0,5.0,12.89,2.5,2.0
521077,Dr. Theodoro Silva,TI,junior,2017-10-08,9,297.0,235.0,32.0,8.17,7.27,9.0
241849,Joana Borges,TI,junior,2019-06-14,14,229.0,284.0,52.0,14.74,5.83,9.0
399252,André Rios,TI,junior,2018-12-18,13,211.0,106.0,51.0,2.13,14.23,8.0
580669,Isabela Pires,TI,junior,2017-06-19,3,6.0,143.0,30.0,9.21,12.1,3.0
182224,Augusto Pereira,TI,junior,2021-07-29,6,14.0,131.0,38.0,2.5,6.21,9.0
588032,Isabel Costela,TI,junior,2016-09-11,9,182.0,130.0,5.0,4.97,14.62,4.0
841113,Ravy Carvalho,TI,junior,2017-03-28,9,204.0,73.0,44.0,6.69,14.41,5.0
