ID_Funcionario,Nome,Departamento,Cargo,Data_Contratacao,Treinamentos_Completos,Tickets_Resolvidos,Tickets_Resolvidos_No_Prazo,Tempo_Medio_Atendimento_Minutos,Porcentagem_Reducao_Custos,Porcentagem_Aumento_Conversao_Apos_Melhorias,Max_Bugs_Criticos
853525,Dr. Benicio Almeida,TI,pleno,2015-12-06,12,11.0,30.0,23.0,9.933,9.262,7.0
24231,Maria Sophia Rezende,TI,pleno,2020-11-23,6,72.0,194.0,80.0,0.11,13.299,7.0
241354,Sr. Lorenzo Sampaio,TI,pleno,2020-03-13,5,130.0,301.0,45.0,4.367000000000001,4.07,6.0
519341,Rhavi Rios,TI,pleno,2023-12-05,9,36.0,143.0,45.0,15.741,14.454000000000002,3.0
699365,Olívia Pastor,TI,pleno,2020-11-01,3,269.0,322.0,52.0,2.079,10.89,9.0
894211,Sra. Hellena Fernandes,TI,pleno,2020-11-12,1,50.0,97.0,95.0,9.559,8.943000000000001,7.0
991273,Luna Vasconcelos,TI,pleno,2019-09-20,2,67.0,209.0,26.0,8.063,14.938,8.0
3056,Srta. Camila Vasconcelos,TI,pleno,2017-05-29,8,273.0,14.0,33.0,2.156,16.17,2.0
481010,Maria Eduarda Albuquerque,TI,pleno,2020-02-06,3,321.0,247.0,91.0,3.905,2.684,8.0
58771,Gabriela da Cruz,TI,pleno,2018-11-04,12,218.0,40.0,89.0,8.371,11.0,3.0
17570,Ester Dias,TI,pleno,2022-03-13,13,295.0,245.0,47.0,4.279000000000001,4.081,6.0
197176,Larissa Nunes,TI,pleno,2020-01-09,9,206.0,90.0,7.0,4.719,4.488,3.0
697932,Sra. Cecilia Lopes,TI,pleno,2016-12-03,9,157.0,311.0,29.0,6.4350000000000005,14.707,8.0
716887,Thiago Almeida,TI,pleno,2021-05-08,9,233.0,144.0,72.0,15.928000000000004,4.455,8.0
754539,Theo Rezende,TI,pleno,2019-02-24,5,34.0,4.0,28.0,7.898000000000001,5.621,11.0
315657,Otto da Costa,TI,pleno,2019-12-31,4,23.0,77.0,26.0,13.057,9.735,8.0
43568,Sr. Isaac Rocha,TI,pleno,2017-02-07,8,145.0,155.0,29.0,6.644000000000001,4.488,5.0
503316,Ravi Borges,TI,pleno,2021-06-22,9,39.0,321.0,60.0,3.949,2.618,6.0
758153,Eduardo Silveira,TI,pleno,2016-02-10,3,270.0,93.0,29.0,9.68,16.478,5.0
951645,Nicole Pereira,TI,pleno,2015-11-10,9,298.0,15.0,79.0,4.840000000000001,6.182,1.0
874693,Ryan Rodrigues,TI,pleno,2022-05-31,8,211.0,139.0,25.0,13.948,3.2890000000000006,4.0
172674,Dra. Isabela da Paz,TI,pleno,2017-06-05,3,72.0,62.0,25.0,12.463,12.661,7.0
709523,Srta. Ester Guerra,TI,pleno,2019-07-10,5,29.0,129.0,26.0,2.035,6.083000000000001,7.0
56449,Luísa Gonçalves,TI,pleno,2020-10-11,9,271.0,310.0,11.0,3.861,0.418,9.0
697795,Asafe Araújo,TI,pleno,2018-03-05,4,214.0,38.0,4.0,0.6160000000000001,16.434,1.0
460793,Calebe Campos,TI,pleno,2020-07-18,12,303.0,115.0,17.0,2.365,10.846,1.0
357278,Yan Cunha,TI,pleno,2019-12-18,10,24.0,284.0,4.0,0.308,15.202000000000002,9.0
661845,Ana Beatriz Dias,TI,pleno,2020-02-01,6,224.0,291.0,63.0,16.28,5.335,11.0
228469,Marcela Camargo,TI,pleno,2020-10-23,10,289.0,203.0,59.0,2.5410000000000004,2.9810000000000003,7.0
203406,Thiago Ramos,TI,pleno,2019-02-19,12,260.0,45.0,28.0,13.695,11.484,1.0
535806,Ana Carolina Costela,TI,pleno,2020-03-07,12,20.0,276.0,49.0,8.844,10.428,6.0
57869,Sr. Dom Costa,TI,pleno,2017-07-24,6,83.0,248.0,18.0,5.885,12.881000000000002,9.0
163430,Amanda Guerra,TI,pleno,2019-11-14,6,264.0,239.0,7.0,9.944,13.574000000000002,5.0
817672,Henrique Novaes,TI,pleno,2022-02-28,9,279.0,82.0,62.0,9.086,2.068,3.0
774999,Dra. Ana Carolina Campos,TI,pleno,2019-04-01,13,81.0,286.0,15.0,5.401000000000001,9.537,3.0
542647,Nina da Cunha,TI,pleno,2022-10-29,1,16.0,92.0,59.0,13.904000000000002,11.099,3.0
14919,Josué Araújo,TI,pleno,2018-12-24,13,262.0,239.0,68.0,0.44,7.832000000000001,11.0
740902,Mariana Gonçalves,TI,pleno,2015-08-24,13,173.0,103.0,17.0,15.048,5.643000000000001,4.0
730075,Juliana Montenegro,TI,pleno,2022-09-16,1,90.0,267.0,33.0,12.067000000000002,10.692000000000002,7.0
141542,Helena Cassiano,TI,pleno,2021-08-04,14,260.0,187.0,74.0,2.893,14.124,9.0
70914,Renan da Cruz,TI,pleno,2015-10-16,2,271.0,81.0,34.0,4.543,15.466,7.0
342775,Sr. Luiz Felipe Teixeira,TI,pleno,2021-10-16,4,77.0,302.0,57.0,9.526000000000002,12.749,8.0
431975,Sr. Théo Ramos,TI,pleno,2023-12-28,12,183.0,15.0,34.0,10.615000000000002,6.292,5.0
616743,Dr. Josué Dias,TI,pleno,2022-05-09,8,256.0,125.0,52.0,5.929,4.312,5.0
754412,Augusto Silva,TI,pleno,2023-12-02,9,217.0,5.0,52.0,6.787000000000001,0.275,7.0
928403,Juliana da Costa,TI,pleno,2020-01-19,12,269.0,88.0,39.0,6.16,6.699000000000001,6.0
72156,Maria Cecília da Rocha,TI,pleno,2023-01-11,12,143.0,224.0,64.0,1.4190000000000005,10.208,8.0
603587,Luigi Cavalcante,TI,pleno,2019-04-05,3,104.0,35.0,0.0,5.082000000000001,5.940000000000001,3.0
557328,Ísis Nascimento,TI,pleno,2020-02-21,11,105.0,99.0,80.0,1.903,14.014,6.0
758852,Caleb Borges,TI,pleno,2022-04-03,4,130.0,243.0,86.0,7.414000000000001,7.084000000000001,0.0
858415,Sra. Luara Sales,TI,pleno,2022-01-26,12,201.0,193.0,34.0,13.948,10.186,8.0
207641,Yago Sampaio,TI,pleno,2021-07-18,9,196.0,56.0,96.0,4.829,9.449,11.0
233409,Dr. Davi Miguel Vargas,TI,pleno,2023-05-27,15,161.0,190.0,26.0,6.831,7.458000000000001,6.0
331927,Sr. Matteo Pereira,TI,pleno,2017-08-22,13,68.0,200.0,18.0,6.468,10.659,8.0
