ID_Funcionario,Nome,Departamento,Cargo,Data_Contratacao,Treinamentos_Completos,ROI_Por_Real_Investido,Porcentagem_Aumento_Trafego,Porcentagem_Reducao_CAC
771310,João Lucas Castro,marketing,junior,2022-12-21,7,1.51,22.9,2.56
441400,Dr. Pedro Lucas Caldeira,marketing,junior,2022-03-19,5,1.6,0.96,7.89
376369,Danilo Viana,marketing,junior,2017-08-14,2,0.41,26.34,23.67
460266,Brenda Mendonça,marketing,junior,2021-06-20,7,1.74,5.71,11.22
345212,Zoe da Mota,marketing,junior,2019-05-21,8,6.9,7.96,19.6
215602,Yuri Aparecida,marketing,junior,2017-10-20,7,1.26,27.73,19.56
43702,Augusto Leão,marketing,junior,2022-12-23,5,0.81,29.11,4.46
439827,Theo Freitas,marketing,junior,2019-09-06,6,0.35,11.37,5.29
431346,Luigi Lima,marketing,junior,2015-02-28,6,5.95,24.67,2.64
814105,Mirella Pinto,marketing,junior,2022-06-21,11,5.75,12.02,1.85
141811,Maria Clara Viana,marketing,junior,2023-03-05,14,3.81,19.43,22.71
9438,Mirella Porto,marketing,junior,2023-02-09,7,2.2,9.7,24.25
128384,Aylla Moreira,marketing,junior,2021-03-19,8,1.42,16.48,23.19
766620,Camila Costela,marketing,junior,2022-12-29,2,1.57,25.24,2.84
979540,Ágatha das Neves,marketing,junior,2021-05-15,2,0.88,28.96,8.3
994672,Enzo Rocha,marketing,junior,2023-02-13,7,3.68,13.71,18.06
632126,Maria Laura Leão,marketing,junior,2022-04-26,3,5.32,21.12,2.51
25505,Marcelo da Costa,marketing,junior,2017-11-13,10,6.85,19.75,6.86
21987,Oliver Costa,marketing,junior,2016-09-19,11,6.87,11.02,22.54
12205,Dr. Renan Freitas,marketing,junior,2019-07-09,14,2.79,5.69,3.05
287603,Ana Beatriz Viana,marketing,junior,2020-06-09,1,4.64,19.25,14.93
601277,Ian Dias,marketing,junior,2020-05-23,7,3.06,3.18,10.89
888294,Srta. Eduarda Ferreira,marketing,junior,2019-06-23,2,5.68,25.12,24.56
358648,Sra. Maria Laura Cirino,marketing,junior,2020-09-12,11,4.69,24.87,18.47
371805,Evelyn Azevedo,marketing,junior,2020-09-20,14,1.59,4.13,1.93
412468,Dr. Antônio Ferreira,marketing,junior,2022-01-19,7,2.9,11.89,9.35
