ID_Funcionario,Nome,Departamento,Cargo,Data_Contratacao,Treinamentos_Completos,ROI_Por_Real_Investido,Porcentagem_Aumento_Trafego,Porcentagem_Reducao_CAC
359297,Henry Gabriel da Paz,marketing,pleno,2022-01-09,11,1.617,8.811,25.762000000000004
481308,Srta. Luísa Gonçalves,marketing,pleno,2019-04-26,11,7.623,21.12,15.312
424819,Vinicius Jesus,marketing,pleno,2023-04-05,14,0.154,30.657000000000004,24.167
687135,Sra. Caroline Lopes,marketing,pleno,2021-10-24,3,3.707,28.534,24.816
841495,Catarina Araújo,marketing,pleno,2023-11-21,11,5.368,24.112000000000005,21.538
131875,Carlos Eduardo Marques,marketing,pleno,2020-03-04,8,2.431,24.816,1.9910000000000003
808234,Matteo da Rocha,marketing,pleno,2022-06-14,9,4.939000000000001,13.189000000000002,26.983000000000004
754701,Leandro Pires,marketing,pleno,2017-10-19,14,6.963000000000001,19.272,19.129
560433,Ana Beatriz Brito,marketing,pleno,2022-12-07,14,2.145,31.394,11.594
655079,Dr. João Gabriel Pinto,marketing,pleno,2019-03-19,14,7.249,6.545000000000001,16.28
531913,Enzo Gabriel Andrade,marketing,pleno,2019-11-03,14,3.355,24.123,7.381
661633,Maysa Sá,marketing,pleno,2015-06-16,12,5.159000000000001,28.303000000000004,9.075
948248,Apollo da Cruz,marketing,pleno,2021-06-11,1,5.104,13.211,20.911000000000005
293937,Ravy Peixoto,marketing,pleno,2023-09-14,7,6.699000000000001,32.362,6.567
395843,Sra. Maria Flor Souza,marketing,pleno,2021-11-02,3,7.612,26.147,17.930000000000003
215092,Yasmin Rodrigues,marketing,pleno,2018-04-30,6,5.214,5.214,12.144
445404,Breno Rios,marketing,pleno,2020-06-05,9,5.753000000000001,5.797,3.63
875548,Sra. Catarina Azevedo,marketing,pleno,2020-08-20,2,5.753000000000001,11.176000000000002,3.168
754857,Calebe Albuquerque,marketing,pleno,2016-10-24,2,3.894000000000001,14.201,21.813
612446,Nathan Mendonça,marketing,pleno,2018-05-12,11,3.2010000000000005,3.135,11.737
422356,Dr. Guilherme Novais,marketing,pleno,2023-06-04,2,7.348,22.660000000000004,13.046
867456,Dr. Levi Barbosa,marketing,pleno,2021-12-28,9,4.675000000000001,13.673,5.929
348079,Mateus Pimenta,marketing,pleno,2019-02-08,13,3.146,11.165,16.445
429451,Sra. Alice Vieira,marketing,pleno,2016-02-01,4,4.741,29.898000000000003,0.528
713211,Dr. Yan Vasconcelos,marketing,pleno,2023-05-16,15,7.502000000000001,16.379,13.684
616954,Heloisa Viana,marketing,pleno,2022-09-17,13,5.236,11.374,24.145
14468,Ana Carolina Ferreira,marketing,pleno,2015-03-24,7,3.487,22.726000000000003,4.345000000000001
355176,Antonella Carvalho,marketing,pleno,2016-04-06,12,1.573,20.02,8.591000000000001
998660,Brenda Peixoto,marketing,pleno,2022-08-25,8,5.423,22.781,13.453
868419,Valentina Cirino,marketing,pleno,2017-11-10,5,5.005,24.948,7.898000000000001
804077,Ísis da Mata,marketing,pleno,2023-04-28,5,1.4300000000000002,24.717,23.991
900834,Caleb Rocha,marketing,pleno,2022-07-15,3,7.612,17.930000000000003,13.585
