ID_Funcionario,Nome,Departamento,Cargo,Data_Contratacao,Treinamentos_Completos,ROI_Por_Real_Investido,Porcentagem_Aumento_Trafego,Porcentagem_Reducao_CAC
476450,Ester Sousa,marketing,senior,2019-06-26,5,1.305,41.505,2.955
86264,Theo Novaes,marketing,senior,2021-02-02,9,9.165,19.035,7.935
99070,Sr. Henrique Peixoto,marketing,senior,2018-10-05,6,5.805,19.335,1.5750000000000002
801486,Mateus Sá,marketing,senior,2015-08-14,11,1.335,18.915,35.265
104339,Srta. Giovanna Aragão,marketing,senior,2017-07-01,7,6.045,32.325,14.4
542069,Sra. Laura Silva,marketing,senior,2021-12-01,13,5.58,25.155,11.895
359010,Enzo Gabriel Alves,marketing,senior,2017-11-19,15,8.565,40.14,16.005
317822,Heloisa Pimenta,marketing,senior,2017-07-04,3,5.925000000000001,1.215,24.105
430996,Henry Novaes,marketing,senior,2021-02-08,4,7.365,12.435,0.375
34237,Ana Liz Fogaça,marketing,senior,2016-04-15,5,7.470000000000001,20.175,0.645
150214,Liam Lopes,marketing,senior,2019-03-22,13,6.525,27.435,27.75
688650,Srta. Bianca Novais,marketing,senior,2019-08-13,10,6.84,41.22,6.8100000000000005
263040,Kevin Albuquerque,marketing,senior,2020-07-26,7,8.55,43.605,17.625
608621,Pietro Duarte,marketing,senior,2016-06-04,12,1.515,8.58,22.47
453636,Leandro Vieira,marketing,senior,2021-02-13,7,5.085,14.955000000000002,28.605
822282,Maria Júlia Vargas,marketing,senior,2021-08-08,10,7.154999999999999,8.100000000000001,6.57
618460,Heloisa Aragão,marketing,senior,2016-12-27,4,7.17,22.395,21.87
200871,Luna Peixoto,marketing,senior,2022-03-16,13,2.67,11.49,0.345
827661,Alexandre Casa Grande,marketing,senior,2019-05-01,15,5.265,12.27,6.165000000000001
975371,Luiz Fernando Ribeiro,marketing,senior,2019-10-05,15,2.325,2.85,30.9
397324,Thales Melo,marketing,senior,2023-08-13,2,0.54,12.945,11.715
662520,Vicente Pimenta,marketing,senior,2022-09-21,13,2.37,19.305,21.03
762988,Srta. Cecília Mendonça,marketing,senior,2021-07-18,7,4.245,28.8,10.86
985949,Sr. Otto Jesus,marketing,senior,2018-01-14,9,2.985,33.69,16.830000000000002
275263,Pietro Vasconcelos,marketing,senior,2018-07-10,5,9.945,44.295,17.31
572639,Nina Correia,marketing,senior,2016-10-31,13,5.535,43.485,30.630000000000003
749080,Leonardo Sousa,marketing,senior,2017-09-01,12,0.165,35.49,12.93
957015,Ravy Sousa,marketing,senior,2023-09-26,1,10.485,12.36,36.75
610844,Aurora Novais,marketing,senior,2016-10-03,14,0.675,24.405,33.42
271639,Pedro Ribeiro,marketing,senior,2020-07-05,7,1.365,39.795,2.46
218406,Renan Costa,marketing,senior,2020-03-25,11,10.05,21.735,30.18
879199,Júlia da Rocha,marketing,senior,2020-12-19,13,10.38,15.54,14.955000000000002
468351,Ana Vitória Araújo,marketing,senior,2022-05-14,5,5.8950000000000005,14.355,17.490000000000002
929093,Maria Laura Brito,marketing,senior,2019-03-16,2,9.81,35.79,10.26
236193,Caio Novaes,marketing,senior,2020-12-31,12,0.8250000000000001,41.58,24.6
736027,Luiz Henrique da Rocha,marketing,senior,2016-11-05,3,3.45,18.03,3.57
530362,Raul Lopes,marketing,senior,2022-02-15,3,2.475,30.045,17.445
518034,Mateus Lima,marketing,senior,2021-12-26,5,5.28,40.275000000000006,26.385
828461,Isabela Brito,marketing,senior,2023-11-12,14,6.87,30.825000000000003,9.645
437894,Luiz Henrique Gomes,marketing,senior,2022-08-25,13,6.735,22.08,6.315
881881,Sr. Liam Teixeira,marketing,senior,2022-03-19,2,8.235,25.47,32.175
918662,Maya Novaes,marketing,senior,2023-11-18,6,5.91,1.485,34.83
904251,Sr. Yago da Cunha,marketing,senior,2016-07-24,4,7.290000000000001,22.095,21.6
99741,Helena Casa Grande,marketing,senior,2018-12-04,11,5.25,28.5,9.075
3011,Luiz Gustavo Pastor,marketing,senior,2020-06-06,12,4.215,22.8,34.515
465903,Alexandre Fernandes,marketing,senior,2018-01-16,13,0.39,43.575,26.31
265875,Ana Vitória Câmara,marketing,senior,2015-03-05,4,6.195,30.24,11.745
307461,Lívia Azevedo,marketing,senior,2020-02-29,9,5.37,25.77,10.05
319050,Sr. José Miguel Aragão,marketing,senior,2020-07-23,9,8.64,1.875,26.955
213992,Maria Souza,marketing,senior,2017-09-23,12,1.395,3.18,14.37
814173,Brayan Barros,marketing,senior,2021-02-10,6,8.235,33.285000000000004,9.09
751677,Daniela Casa Grande,marketing,senior,2018-07-21,3,4.14,1.32,25.62
294092,Maria Alice Cavalcante,marketing,senior,2018-04-21,4,3.24,22.065,3.39
678693,Stephany Camargo,marketing,senior,2022-11-25,3,1.065,13.575,5.115
832924,Caio Jesus,marketing,senior,2022-06-24,7,10.35,40.2,26.415
842249,Levi da Cruz,marketing,senior,2021-01-07,2,0.645,33.855000000000004,25.035000000000004
94754,Lucca Albuquerque,marketing,senior,2018-04-17,4,7.215,42.135,21.48
136182,João Miguel Abreu,marketing,senior,2022-06-06,7,2.085,16.575000000000003,17.415
567441,Pietra Cavalcante,marketing,senior,2022-01-15,11,3.765,13.515,6.375
866528,Benjamin Martins,marketing,senior,2019-02-16,5,0.945,15.99,27.915
645669,Kamilly Souza,marketing,senior,2019-06-04,14,9.375,44.400000000000006,5.37
226120,Anthony Gabriel Azevedo,marketing,senior,2020-11-06,4,1.995,30.450000000000003,23.505
597312,Dr. Theo Gonçalves,marketing,senior,2022-05-30,6,10.455,15.419999999999998,33.795
688077,Carlos Eduardo Siqueira,marketing,senior,2020-03-02,15,4.305,7.215,20.55
656570,Maria Vitória Montenegro,marketing,senior,2022-10-08,13,6.9,32.22,4.275
843499,Lara Pires,marketing,senior,2017-04-23,3,8.205,40.965,25.950000000000003
290270,Kamilly Sales,marketing,senior,2019-11-20,12,5.985,30.015,15.66
697077,Maria Júlia Teixeira,marketing,senior,2023-10-07,11,0.54,41.955,23.085
395179,Ágatha Porto,marketing,senior,2021-11-03,9,2.31,8.28,2.55
705129,Danilo da Costa,marketing,senior,2023-06-10,15,8.43,20.055,1.65
732063,Antony Casa Grande,marketing,senior,2022-07-15,1,8.58,3.24,25.725
607507,Valentina Santos,marketing,senior,2017-10-13,13,3.4799999999999995,3.945,2.04
237509,Valentim Marques,marketing,senior,2022-01-07,7,0.735,36.975,34.155
78402,Laís Peixoto,marketing,senior,2022-09-28,12,5.745,3.825,7.875
282053,Sr. Kevin Moura,marketing,senior,2016-01-31,10,1.185,30.39,17.97
411849,Srta. Nicole Barros,marketing,senior,2020-06-14,12,10.17,28.695,32.94
604598,Dr. Diogo Monteiro,marketing,senior,2020-08-17,2,6.195,10.335,14.46
942248,Alícia Lima,marketing,senior,2023-04-27,2,4.845,26.4,1.02
400583,Luiz Henrique Monteiro,marketing,senior,2019-05-13,14,6.765,12.21,16.68
491087,Manuella Caldeira,marketing,senior,2016-09-19,3,6.165000000000001,43.455,15.525
376898,Aurora Fonseca,marketing,senior,2015-10-09,3,8.024999999999999,3.75,9.84
672243,Benjamin da Cruz,marketing,senior,2023-05-28,11,4.59,11.25,26.805
323,Pietra Rocha,marketing,senior,2019-07-24,3,8.31,14.865,31.635
956809,Lorenzo Leão,marketing,senior,2020-02-11,6,1.62,12.735,15.375
685604,Vitor Gabriel Cassiano,marketing,senior,2019-03-28,4,0.42,3.165,11.4
732242,Daniela das Neves,marketing,senior,2015-09-06,12,5.07,32.849999999999994,5.295
357536,Dr. Bento Pacheco,marketing,senior,2016-11-24,14,10.26,4.485,11.835
280751,Letícia Cavalcanti,marketing,senior,2022-01-25,3,3.45,24.405,7.755
845070,Giovanna Nascimento,marketing,senior,2020-08-12,10,3.285,27.525,27.84
387307,Isaque Dias,marketing,senior,2023-07-29,13,4.74,32.52,4.245
989148,Pedro Henrique da Mota,marketing,senior,2022-12-29,9,6.945,31.5,21.465
8172,Alice Garcia,marketing,senior,2022-06-06,13,5.625,9.375,25.71
423559,Vicente Barbosa,marketing,senior,2020-08-28,4,0.33,18.63,18.645
313588,Rodrigo Cirino,marketing,senior,2022-03-01,11,4.59,44.565,3.18
47510,Marcos Vinicius Rodrigues,marketing,senior,2020-09-30,10,8.25,11.715,23.595
966110,Dr. Davi da Rocha,marketing,senior,2020-09-12,6,6.69,9.495,27.54
542974,Beatriz Costela,marketing,senior,2023-10-02,12,2.715,1.5750000000000002,2.64
739423,Isabella Peixoto,marketing,senior,2017-01-09,4,0.195,40.83,23.19
821385,Emanuel Novais,marketing,senior,2015-03-15,10,7.125,14.595,36.6
499744,Helena Pacheco,marketing,senior,2015-02-05,15,5.085,40.065,5.43
540537,Dr. Diego Mendonça,marketing,senior,2019-02-06,14,5.13,44.805,22.185
411500,Gustavo Cavalcanti,marketing,senior,2023-05-06,9,8.625,20.355,9.015
51419,Srta. Maria Helena da Rosa,marketing,senior,2020-12-30,13,9.93,24.405,29.79
603438,Thiago da Rosa,marketing,senior,2022-03-18,4,9.855,26.1,35.97
32181,Pedro Jesus,marketing,senior,2018-01-16,11,5.535,5.5200000000000005,26.625
779797,Marcela da Cunha,marketing,senior,2016-08-28,2,9.42,6.285,22.02
287729,João Gabriel Garcia,marketing,senior,2019-03-21,1,3.195,25.17,17.384999999999998
289593,Aylla Cavalcante,marketing,senior,2023-05-01,12,4.574999999999999,11.61,25.725
546518,Henry Câmara,marketing,senior,2023-11-26,7,7.574999999999999,3.705,18.51
110083,Yago da Costa,marketing,senior,2016-02-04,2,1.11,19.71,24.69
642663,Brayan Novaes,marketing,senior,2016-03-28,5,2.925,34.56,4.050000000000001
133591,Dra. Hellena Mendonça,marketing,senior,2017-12-14,7,5.745,42.87,1.185
124167,Vitor Hugo Oliveira,marketing,senior,2020-10-12,5,10.2,27.765,13.23
808919,Ísis Borges,marketing,senior,2022-03-03,4,1.02,21.975,25.905
476178,Dr. Luiz Gustavo Garcia,marketing,senior,2022-02-27,12,5.775,28.995,1.59
944221,Lunna Borges,marketing,senior,2018-10-08,2,7.814999999999999,42.105,8.175
79139,Pedro Lucas Cunha,marketing,senior,2015-01-26,3,4.44,41.34,3.765
60824,Guilherme Borges,marketing,senior,2020-05-31,6,4.5,11.7,3.345
656501,Danilo Albuquerque,marketing,senior,2016-05-06,14,5.19,10.095,7.62
107983,Anthony Gabriel Rezende,marketing,senior,2022-07-22,12,9.87,43.53,22.44
652030,Jade Rios,marketing,senior,2018-12-14,5,3.78,19.35,33.855000000000004
50077,Daniel Duarte,marketing,senior,2021-04-02,12,5.8950000000000005,20.595,4.215
563824,Srta. Melissa Barros,marketing,senior,2018-04-10,8,7.904999999999999,29.43,4.53
424358,Cecilia Sá,marketing,senior,2020-05-27,3,8.459999999999999,13.95,25.68
576564,Sara Sousa,marketing,senior,2021-08-22,8,1.005,16.53,7.5
810242,Maria Liz Pastor,marketing,senior,2015-12-03,9,1.95,28.380000000000003,3.4799999999999995
670413,Maria Alice Lopes,marketing,senior,2019-07-12,7,6.615,23.61,10.905
919744,Sra. Rebeca Pinto,marketing,senior,2021-12-06,14,6.855,16.215,17.715
594679,Danilo Aparecida,marketing,senior,2020-11-14,14,9.135,6.945,13.635
643511,Sra. Giovanna da Paz,marketing,senior,2017-03-30,10,1.6800000000000002,1.26,29.865
914581,Isabelly Borges,marketing,senior,2020-04-17,3,10.215,37.065,5.415
985975,Emanuelly Campos,marketing,senior,2015-04-27,9,4.800000000000001,43.56,19.245
802841,Dra. Caroline da Mota,marketing,senior,2020-12-22,10,6.779999999999999,28.98,3.195
533507,Vicente Costa,marketing,senior,2020-11-21,14,4.74,0.045,17.43
503041,Davi Lucca Aragão,marketing,senior,2021-06-10,12,9.93,28.59,36.735
677613,José da Conceição,marketing,senior,2021-10-30,1,6.525,8.370000000000001,5.16
957058,Vitor Cavalcante,marketing,senior,2021-09-11,10,3.6,16.59,0.3
472531,Carolina Vieira,marketing,senior,2022-10-24,10,1.7999999999999998,23.715,29.97
177230,Raquel Gonçalves,marketing,senior,2015-02-09,13,0.6900000000000001,6.495,34.650000000000006
915688,Hadassa Campos,marketing,senior,2022-06-22,9,0.885,33.825,11.07
761526,Vitória Martins,marketing,senior,2017-11-09,7,0.12,14.7,34.125
219122,Léo Camargo,marketing,senior,2017-08-24,1,1.92,25.59,14.76
436008,Yago Fonseca,marketing,senior,2023-09-30,13,3.24,2.355,0.18
413429,Natália Pires,marketing,senior,2016-06-23,13,9.21,6.045,11.91
839356,Yuri Moura,marketing,senior,2023-03-07,15,10.365,3.21,33.18
859237,Aurora Farias,marketing,senior,2021-06-17,7,3.18,43.545,24.69
733443,Letícia Nogueira,marketing,senior,2017-04-16,14,1.98,44.385,35.910000000000004
918672,Benjamin Cirino,marketing,senior,2023-07-31,10,4.665,27.3,15.0
795416,Benjamim Lima,marketing,senior,2021-04-18,4,7.74,13.98,22.125
435168,Miguel Camargo,marketing,senior,2018-09-25,14,8.985,4.59,29.46
828309,Enzo Viana,marketing,senior,2023-06-12,13,0.21,25.02,20.115
676684,Elisa Pimenta,marketing,senior,2022-01-08,4,1.7999999999999998,43.965,24.675
649542,Maria Alice Ramos,marketing,senior,2017-10-06,13,1.035,2.16,11.925
