ID_Funcionario,Nome,Departamento,Cargo,Data_Contratacao,Treinamentos_Completos,Tickets_Resolvidos,Tickets_Resolvidos_No_Prazo,Tempo_Medio_Atendimento_Minutos,Porcentagem_Reducao_Custos,Porcentagem_Aumento_Conversao_Apos_Melhorias,Max_Bugs_Criticos
78519,Alexia Macedo,TI,senior,2022-12-31,2,399.0,162.0,25.0,1.56,14.88,12.0
358725,Breno Machado,TI,senior,2018-08-08,13,193.0,262.0,49.0,22.44,3.1049999999999995,7.0
890795,Aurora Cavalcanti,TI,senior,2019-09-15,10,90.0,168.0,22.0,21.450000000000003,20.76,13.0
356705,Enrico Martins,TI,senior,2021-12-16,2,90.0,141.0,135.0,14.625,9.855,7.0
676038,Liz Guerra,TI,senior,2015-05-21,11,142.0,117.0,90.0,7.065,5.97,1.0
378639,Hellena Caldeira,TI,senior,2021-06-26,15,448.0,33.0,28.0,5.97,21.0,13.0
22654,Brayan da Rosa,TI,senior,2022-09-22,5,238.0,300.0,75.0,20.97,2.325,13.0
432385,Ana Luiza Marques,TI,senior,2023-07-16,14,192.0,4.0,10.0,19.875,20.34,7.0
546366,Sr. João da Cunha,TI,senior,2018-04-27,4,364.0,120.0,106.0,2.43,19.62,13.0
578460,Yago Sales,TI,senior,2016-03-20,13,52.0,405.0,25.0,1.005,9.81,7.0
996053,Sra. Maria Vitória Gomes,TI,senior,2023-04-23,6,324.0,334.0,90.0,8.19,1.5750000000000002,10.0
356695,Valentim Pastor,TI,senior,2021-12-13,12,145.0,199.0,91.0,11.505,17.865000000000002,15.0
709522,Mariah Casa Grande,TI,senior,2020-01-28,6,246.0,271.0,30.0,4.9350000000000005,9.81,0.0
904634,Sr. Fernando Moraes,TI,senior,2015-11-29,15,358.0,325.0,114.0,20.685,22.065,7.0
177052,Emilly Cardoso,TI,senior,2022-12-16,6,171.0,13.0,115.0,4.095,4.7700000000000005,12.0
592257,Ana Vitória Silveira,TI,senior,2020-02-02,4,154.0,448.0,75.0,7.92,10.215,4.0
968372,Clarice Andrade,TI,senior,2021-06-03,7,355.0,102.0,70.0,10.14,9.96,13.0
83914,Anna Liz Cavalcanti,TI,senior,2023-12-10,2,171.0,142.0,97.0,17.085,19.635,0.0
943741,João Miguel Andrade,TI,senior,2016-10-05,4,438.0,409.0,100.0,18.735,20.31,12.0
589023,Ana Vitória da Luz,TI,senior,2016-06-30,11,234.0,205.0,130.0,1.365,10.77,6.0
640282,Leandro da Rocha,TI,senior,2022-02-10,14,394.0,247.0,117.0,9.675,19.98,6.0
743967,Maria Vitória Aparecida,TI,senior,2023-06-20,13,96.0,295.0,30.0,2.43,19.02,6.0
260936,Marcela Freitas,TI,senior,2022-07-06,5,303.0,250.0,82.0,14.805,15.6,0.0
938866,Ana Liz Moraes,TI,senior,2020-08-20,11,37.0,24.0,21.0,13.905,15.165,4.0
263934,Yago Alves,TI,senior,2017-03-08,13,139.0,99.0,133.0,1.23,4.605,13.0
49245,Caroline Moura,TI,senior,2021-11-27,2,87.0,349.0,48.0,21.555,14.52,1.0
