ID_Funcionario,Nome,Departamento,Cargo,Data_Contratacao,Treinamentos_Completos,Vendas,Satisfacao_Cliente,Valor_Gerado_Reais
59077,Dr. Thales Cavalcante,vendas,senior,2018-02-26,8,9525.0,4.005,367216.395
50854,Hellena Freitas,vendas,senior,2023-06-27,5,10810.0,5.0,805455.4949999999
5984,Ryan Carvalho,vendas,senior,2017-01-02,11,13689.0,5.0,447667.185
252401,Julia Guerra,vendas,senior,2017-05-18,12,6466.0,3.18,700537.005
945964,Diego Pereira,vendas,senior,2022-07-11,12,9802.0,4.845,90919.005
92768,Clara Montenegro,vendas,senior,2023-12-15,1,7152.0,5.0,796689.21
127174,Cecilia Andrade,vendas,senior,2016-11-18,10,8917.0,4.65,628837.38
177242,Dr. Theodoro Alves,vendas,senior,2017-01-25,13,2896.0,2.46,1296529.41
453755,Caroline Campos,vendas,senior,2020-07-01,6,1272.0,3.87,949411.29
818205,Ester Pires,vendas,senior,2021-07-14,13,3738.0,5.0,684692.745
372258,Cecilia Lopes,vendas,senior,2019-09-28,1,1029.0,5.0,60387.21
984561,Lorena da Luz,vendas,senior,2021-07-25,13,2889.0,0.8999999999999999,803795.955
836117,Pietra Pereira,vendas,senior,2017-05-03,3,3165.0,4.949999999999999,235585.635
62827,Dr. Yan Dias,vendas,senior,2023-06-13,5,598.0,3.24,483482.37
650547,Sra. Manuella Casa Grande,vendas,senior,2015-04-03,3,12321.0,4.32,1144663.5
274743,Allana Monteiro,vendas,senior,2018-03-19,2,10266.0,2.16,341229.42
95048,Dom Moraes,vendas,senior,2019-10-19,14,5557.0,3.33,1425832.755
378807,Dr. Gustavo Henrique Leão,vendas,senior,2015-11-20,13,8911.0,2.88,870494.115
645366,João Guilherme Aparecida,vendas,senior,2016-03-05,11,10632.0,0.63,838383.105
357062,Mariana Ribeiro,vendas,senior,2015-11-28,1,11563.0,5.0,1325523.255
173647,Cecilia Moura,vendas,senior,2019-07-06,4,6565.0,3.075,1014544.38
548206,Cecilia Vargas,vendas,senior,2018-02-06,13,14103.0,4.5600000000000005,634882.14
861299,Bruna Guerra,vendas,senior,2016-06-22,9,10023.0,3.93,540905.64
382751,Lucca da Mota,vendas,senior,2020-12-27,13,6969.0,5.0,947603.775
49592,Dr. Davi Monteiro,vendas,senior,2015-12-22,11,9562.0,2.73,1201643.97
251023,Arthur Miguel Costa,vendas,senior,2016-04-24,8,2301.0,3.375,556446.765
443818,Olívia das Neves,vendas,senior,2018-10-10,5,2065.0,2.745,471578.16
404596,Manuela Fernandes,vendas,senior,2018-08-17,6,10644.0,5.0,261136.515
479739,Dr. Théo Azevedo,vendas,senior,2021-07-04,3,9615.0,4.44,870969.75
506153,Srta. Bruna Moreira,vendas,senior,2019-10-11,10,4995.0,3.555,685482.84
363883,Maria Teixeira,vendas,senior,2018-05-02,4,3633.0,4.29,1050781.365
366378,Liz Campos,vendas,senior,2021-06-28,15,14668.0,1.185,979339.2
565700,Felipe Pacheco,vendas,senior,2020-10-31,8,11320.0,5.0,122805.465
257389,André Moura,vendas,senior,2022-05-29,7,6936.0,5.0,1084920.12
584306,João Gabriel Sales,vendas,senior,2021-09-17,15,14674.0,4.845,630542.91
145095,Emanuella Fernandes,vendas,senior,2015-01-06,1,6288.0,5.0,1325634.93
392417,Elisa Dias,vendas,senior,2018-04-25,11,14227.0,5.0,1367366.505
789389,Zoe Mendonça,vendas,senior,2021-06-15,7,6190.0,3.12,794987.7150000001
317369,Cecília Duarte,vendas,senior,2021-02-28,15,6840.0,0.4499999999999999,956592.885
552965,Luan Fogaça,vendas,senior,2015-12-05,10,6346.0,2.82,673600.08
661277,Sr. Diego Correia,vendas,senior,2016-04-25,4,11203.0,4.1850000000000005,1031496.615
634682,Luna Melo,vendas,senior,2015-05-02,9,3658.0,1.305,240203.565
320276,Nicole Fogaça,vendas,senior,2021-02-02,14,14583.0,4.755,1045933.47
851428,Diego Nascimento,vendas,senior,2018-08-01,8,5965.0,5.0,1237271.475
189582,Marina das Neves,vendas,senior,2017-04-09,1,14893.0,1.065,795762.42
67166,Dra. Bruna Camargo,vendas,senior,2023-10-21,11,4902.0,4.3950000000000005,1144836.195
465314,Sra. Valentina Araújo,vendas,senior,2018-09-13,1,10111.0,0.8699999999999999,1111169.94
257469,Valentina Rezende,vendas,senior,2023-10-07,3,5592.0,3.765,1352911.515
675574,Cauã Rodrigues,vendas,senior,2016-09-20,8,14721.0,5.0,103389.66
276032,Julia Rezende,vendas,senior,2023-08-23,14,4197.0,0.33,347208.855
197473,Antonella Araújo,vendas,senior,2019-02-06,2,8791.0,5.0,112480.77
419385,Vinícius Pires,vendas,senior,2021-06-10,14,6651.0,0.96,1357616.955
365601,Sra. Ana Laura da Cunha,vendas,senior,2018-09-13,7,9288.0,1.845,442657.74
662709,Enrico Gomes,vendas,senior,2019-07-22,11,12910.0,5.0,560386.17
911075,Brayan da Conceição,vendas,senior,2017-03-11,10,14230.0,2.94,1491424.695
296768,Sr. Bento Cardoso,vendas,senior,2020-03-13,1,10050.0,5.0,503624.205
773333,Ayla Teixeira,vendas,senior,2021-09-22,12,2218.0,4.47,479624.235
