ID_Funcionario,Nome,Departamento,Cargo,Data_Contratacao,Treinamentos_Completos,Vendas,Satisfacao_Cliente,Valor_Gerado_Reais
688875,Helena Ferreira,vendas,junior,2017-04-17,3,3801.0,2.27,834110.43
696758,Ana Clara Cavalcanti,vendas,junior,2020-12-21,4,9131.0,2.84,717914.27
656816,Sr. Diogo Ferreira,vendas,junior,2016-03-23,10,1528.0,0.8,680481.21
130471,Benjamin Sá,vendas,junior,2016-06-08,10,640.0,0.11,553921.52
609082,Vinicius Fogaça,vendas,junior,2022-04-26,15,710.0,3.16,228941.78
640600,Thomas Pacheco,vendas,junior,2018-08-19,4,7424.0,0.78,281756.27
906319,Srta. Mirella Cardoso,vendas,junior,2019-12-27,7,5966.0,1.73,786428.18
16862,Ana Luiza Abreu,vendas,junior,2022-02-08,1,6728.0,1.12,199129.93
481900,Sr. Liam Porto,vendas,junior,2015-08-13,8,9839.0,3.06,768489.34
853983,Gabriela Cassiano,vendas,junior,2023-10-31,13,6561.0,0.03,750964.48
824148,Isabela da Conceição,vendas,junior,2019-08-11,4,1508.0,1.92,152805.27
921228,Mariah Sousa,vendas,junior,2018-04-06,8,8392.0,3.11,238544.94
464324,Alexandre Cassiano,vendas,junior,2022-09-01,10,2789.0,2.25,750476.28
794860,Luiza da Cruz,vendas,junior,2023-08-25,12,7201.0,2.44,758164.65
215251,Lucas Gabriel Sales,vendas,junior,2020-04-13,14,596.0,3.96,595044.04
536232,Alícia da Mota,vendas,junior,2021-02-11,10,2289.0,3.37,860516.87
19604,Valentina Albuquerque,vendas,junior,2019-04-27,15,2762.0,3.95,414942.42
762506,Mariana Vasconcelos,vendas,junior,2023-06-26,12,3814.0,1.79,295872.39
215175,Dr. Rodrigo Cavalcanti,vendas,junior,2020-10-13,14,8601.0,3.62,979942.24
821098,Dra. Mirella Duarte,vendas,junior,2018-12-25,14,5402.0,3.99,109926.35
455035,Luna Sales,vendas,junior,2015-06-22,6,149.0,3.95,237931.61
851998,Dra. Fernanda da Cruz,vendas,junior,2016-11-15,2,2654.0,0.63,420960.56
988234,Asafe Moraes,vendas,junior,2021-03-29,3,4319.0,3.72,372646.86
574709,Dra. Nicole Pimenta,vendas,junior,2019-06-18,14,3802.0,3.52,500262.35
80509,Luiz Otávio Costela,vendas,junior,2020-06-28,10,9513.0,3.14,463953.07
714806,Benicio Rezende,vendas,junior,2016-11-07,4,7160.0,4.72,36983.79
670216,Leandro Azevedo,vendas,junior,2022-06-16,7,8858.0,1.58,310075.88
251428,Dr. Murilo Jesus,vendas,junior,2015-08-02,12,3279.0,1.48,445915.76
267505,Julia Siqueira,vendas,junior,2019-06-26,1,1428.0,3.04,781311.97
861068,Marcelo Fonseca,vendas,junior,2017-11-07,10,2360.0,3.23,362150.58
678269,Anna Liz Montenegro,vendas,junior,2015-11-18,15,259.0,0.93,517745.27
541366,Isis Teixeira,vendas,junior,2020-10-11,12,1357.0,0.37,172656.36
