ID_Funcionario,Nome,Departamento,Cargo,Data_Contratacao,Treinamentos_Completos,Vendas,Satisfacao_Cliente,Valor_Gerado_Reais
7067,Brayan Montenegro,vendas,pleno,2018-01-31,12,9322.0,3.3220000000000005,887841.0970000001
224744,Gabrielly Camargo,vendas,pleno,2017-01-04,9,4197.0,5.0,582025.785
720844,Danilo Cavalcanti,vendas,pleno,2020-12-29,4,779.0,1.309,735875.5580000001
66807,Dra. Anna Liz da Mota,vendas,pleno,2021-12-25,13,5088.0,4.807,82923.379
435412,Sr. Yago Pinto,vendas,pleno,2017-10-03,5,3135.0,2.4090000000000003,597539.756
453700,Dr. Ravi Lucca Mendonça,vendas,pleno,2023-11-06,13,2311.0,1.375,113072.982
226356,Pedro Lucas da Cruz,vendas,pleno,2018-08-12,4,3846.0,4.51,958455.3440000002
195008,Ísis Duarte,vendas,pleno,2022-08-07,8,2406.0,4.422,765502.9580000001
411305,Sra. Luiza das Neves,vendas,pleno,2017-02-14,4,4483.0,2.9810000000000003,457351.653
374115,Isadora Andrade,vendas,pleno,2017-06-28,6,213.0,2.9700000000000006,1099898.613
912724,Lara Almeida,vendas,pleno,2018-10-25,11,5859.0,3.641000000000001,75852.41400000002
836759,Thales Pastor,vendas,pleno,2020-02-29,8,7609.0,1.6830000000000005,639711.149
942805,Asafe Ribeiro,vendas,pleno,2023-01-01,9,2502.0,0.99,15563.207000000002
205040,Gael Farias,vendas,pleno,2017-04-28,3,500.0,0.297,321350.30400000006
511034,Liam Aparecida,vendas,pleno,2020-01-24,13,479.0,4.0920000000000005,775750.6680000001
560343,Sra. Clara Camargo,vendas,pleno,2020-07-20,5,7203.0,4.587000000000001,677217.431
811254,Levi Moreira,vendas,pleno,2021-12-04,2,2679.0,0.6930000000000001,621035.778
751228,Diego Vieira,vendas,pleno,2018-10-05,6,7836.0,2.4420000000000006,989193.447
592066,Manuella Câmara,vendas,pleno,2018-04-27,8,4728.0,1.562,746334.8750000001
317867,Valentina da Conceição,vendas,pleno,2019-06-11,7,3183.0,0.66,547123.863
205082,Leonardo Cardoso,vendas,pleno,2020-02-18,12,1890.0,5.0,506106.5900000001
500335,Sr. Brayan Lima,vendas,pleno,2023-11-21,11,2170.0,3.311,836236.8300000001
321568,Vitor Hugo Ramos,vendas,pleno,2018-02-05,5,751.0,2.431,333102.48400000005
425084,Diego Mendonça,vendas,pleno,2015-05-15,4,10621.0,4.312,994371.774
30502,Sra. Ana Carolina Jesus,vendas,pleno,2019-02-03,9,922.0,0.8800000000000001,494251.142
765560,Diego da Conceição,vendas,pleno,2023-11-21,15,1008.0,5.0,898373.5860000001
480374,Rafael Pimenta,vendas,pleno,2017-04-03,12,2469.0,1.7490000000000003,108991.432
604054,João Lucas Rezende,vendas,pleno,2016-07-14,7,4721.0,3.377,264620.664
672890,Carolina da Mata,vendas,pleno,2020-03-14,6,1811.0,1.7710000000000004,780265.3430000001
375172,Gustavo Campos,vendas,pleno,2021-05-03,8,10956.0,2.563,966983.226
402011,Bella Pinto,vendas,pleno,2015-01-21,7,1472.0,1.4520000000000002,402355.404
913901,Sra. Vitória Lopes,vendas,pleno,2018-11-22,7,3450.0,0.8360000000000001,759550.2860000001
326647,Juan Rios,vendas,pleno,2017-04-06,14,9704.0,0.968,1011598.2910000002
369335,Yago Câmara,vendas,pleno,2018-12-30,14,2236.0,3.5530000000000004,1014448.71
704669,Bella Melo,vendas,pleno,2021-07-06,4,3335.0,4.994000000000001,232988.547
66945,Emanuella Camargo,vendas,pleno,2021-06-28,12,3441.0,0.253,950493.324
989189,Apollo Pacheco,vendas,pleno,2020-10-31,14,7524.0,4.664000000000001,719109.292
541031,Manuela Pires,vendas,pleno,2021-01-04,7,1787.0,1.32,918115.6160000002
171905,Luísa Macedo,vendas,pleno,2020-01-13,6,3036.0,1.65,860933.282
451695,Davi Miguel da Costa,vendas,pleno,2023-01-22,14,8774.0,4.5760000000000005,76074.53700000001
606319,Carlos Eduardo Fonseca,vendas,pleno,2015-02-09,15,10974.0,2.651,324975.442
352414,Benicio Pacheco,vendas,pleno,2019-06-09,2,8275.0,4.444000000000001,68820.125
190259,Igor Câmara,vendas,pleno,2020-11-09,5,1126.0,4.565,826480.0390000001
109663,Dr. Pedro Miguel Mendes,vendas,pleno,2018-08-05,14,2890.0,4.741,95681.311
302393,Srta. Melissa Silva,vendas,pleno,2016-02-25,6,5671.0,1.529,1029969.721
485952,Alana Sampaio,vendas,pleno,2022-01-22,11,1026.0,1.98,90662.583
760321,Ana Júlia Andrade,vendas,pleno,2019-01-31,2,4244.0,1.331,701890.563
333157,Benjamin Carvalho,vendas,pleno,2019-09-10,2,10499.0,4.235,18358.340000000004
239051,Cecília Pacheco,vendas,pleno,2017-01-23,7,2372.0,5.0,1043548.0
187683,Fernando Monteiro,vendas,pleno,2020-11-08,13,919.0,0.44,1013017.346
162181,Luana Andrade,vendas,pleno,2018-02-05,11,6735.0,0.308,732687.5380000001
35085,Sra. Ana Luiza Costa,vendas,pleno,2019-01-09,14,2731.0,5.0,351928.65400000004
463635,Theo Silveira,vendas,pleno,2022-03-15,12,16.0,3.619,933906.589
817817,Melina Fogaça,vendas,pleno,2021-01-29,12,2871.0,1.7380000000000002,880898.502
340657,Benjamim Mendonça,vendas,pleno,2018-11-16,3,3391.0,1.4630000000000003,131904.916
953374,Alana Caldeira,vendas,pleno,2015-08-31,2,9400.0,3.058,605132.979
556164,Nathan Abreu,vendas,pleno,2023-02-10,6,221.0,1.4410000000000005,115197.555
645328,Kaique Cirino,vendas,pleno,2022-08-13,2,1769.0,0.418,1036017.554
215051,Vicente Leão,vendas,pleno,2015-05-22,13,302.0,0.275,939203.463
911662,Asafe Monteiro,vendas,pleno,2015-02-28,13,7991.0,1.2210000000000003,588098.61
21603,Anthony Gabriel Caldeira,vendas,pleno,2020-06-18,10,4629.0,0.55,572340.153
137761,Dra. Helena Moreira,vendas,pleno,2022-03-03,15,3932.0,2.4090000000000003,683987.7330000001
550303,Maria Flor Silva,vendas,pleno,2023-07-01,7,6719.0,1.034,1023237.886
301029,Maria Vitória Martins,vendas,pleno,2022-08-13,13,9070.0,1.045,371726.905
17462,Davi Lucca Silveira,vendas,pleno,2018-01-30,5,8252.0,0.8800000000000001,315277.10500000004
867983,Yasmin Cirino,vendas,pleno,2022-11-03,15,5974.0,2.2220000000000004,384343.24500000005
583727,Ana Luiza Nunes,vendas,pleno,2019-01-17,12,5344.0,1.804,725364.4750000001
547894,Júlia Oliveira,vendas,pleno,2023-09-30,13,4002.0,0.055,262768.88
797025,Pietra Caldeira,vendas,pleno,2018-05-27,7,6622.0,4.488,727220.604
882711,Mateus Castro,vendas,pleno,2019-06-02,9,6073.0,3.0690000000000004,196591.56000000003
319230,Anthony Carvalho,vendas,pleno,2023-09-26,9,1925.0,2.783,614493.781
566237,Srta. Beatriz das Neves,vendas,pleno,2022-04-03,12,4536.0,1.9470000000000005,589217.1010000001
538609,Sr. Luiz Gustavo Marques,vendas,pleno,2016-12-01,6,5241.0,3.4650000000000003,494840.302
613117,Paulo Farias,vendas,pleno,2021-09-29,4,1333.0,4.774,1059428.2160000002
548853,Maria Luísa Rocha,vendas,pleno,2020-06-08,12,1214.0,2.508,498043.953
889061,Heitor Costa,vendas,pleno,2018-01-05,4,8532.0,0.396,517161.4580000001
432053,Julia Moraes,vendas,pleno,2018-04-04,1,5293.0,1.639,396469.326
115782,Sr. Ravy da Paz,vendas,pleno,2022-03-10,8,7772.0,3.08,597007.488
98114,Enzo Gabriel Albuquerque,vendas,pleno,2019-12-29,8,8422.0,5.0,279498.043
417773,Augusto Pacheco,vendas,pleno,2017-06-12,13,4038.0,3.2010000000000005,256293.565
412520,Ana Beatriz Santos,vendas,pleno,2022-02-20,12,5526.0,1.2100000000000002,55571.791000000005
719104,Kaique Rocha,vendas,pleno,2016-09-01,9,2299.0,2.959,224181.485
968444,Srta. Jade Pires,vendas,pleno,2023-01-30,12,992.0,1.7820000000000005,713434.0730000001
396124,Davi Pereira,vendas,pleno,2020-10-17,13,8242.0,1.98,39424.044
465857,Mathias Nunes,vendas,pleno,2015-04-03,12,7965.0,3.3220000000000005,867003.324
783425,Nina Sá,vendas,pleno,2017-12-14,8,8633.0,4.279000000000001,1004689.235
738192,Henrique Caldeira,vendas,pleno,2021-05-11,10,1642.0,1.5070000000000003,16782.392
39807,Letícia Martins,vendas,pleno,2017-04-03,12,6245.0,0.5060000000000001,882585.55
905100,Dante Sampaio,vendas,pleno,2017-05-25,11,8993.0,4.378,358456.703
629818,Nicolas Costela,vendas,pleno,2020-11-04,10,5859.0,2.2,454786.101
362508,Ravy Silva,vendas,pleno,2022-05-27,1,686.0,4.961,1064689.472
486158,Sra. Laura Cavalcante,vendas,pleno,2021-10-12,6,5603.0,3.036,495050.34700000007
867440,Isaac Aragão,vendas,pleno,2022-03-14,13,5332.0,0.6930000000000001,84548.486
565008,Brenda Porto,vendas,pleno,2017-10-29,11,8280.0,2.2660000000000005,421483.689
619294,Gabriel Silva,vendas,pleno,2023-04-25,9,7518.0,2.145,288887.66500000004
966040,Oliver Carvalho,vendas,pleno,2015-05-20,4,1849.0,2.035,181506.743
692596,Sr. Gabriel Peixoto,vendas,pleno,2018-06-16,8,5663.0,0.385,258829.813
345018,Isaque Ramos,vendas,pleno,2022-01-18,11,6894.0,3.872,1500.0150000000003
876671,Enzo Almeida,vendas,pleno,2020-02-24,7,9827.0,1.826,35985.598000000005
16464,Aurora da Costa,vendas,pleno,2021-04-08,3,4021.0,3.4100000000000006,402128.2540000001
947087,Sabrina Oliveira,vendas,pleno,2017-09-27,3,3128.0,5.0,680493.253
153783,Arthur Gabriel Câmara,vendas,pleno,2021-06-22,2,4932.0,5.0,587007.256
852002,Letícia Fogaça,vendas,pleno,2017-04-10,15,10242.0,4.224,1042567.9550000002
708583,Benício Lima,vendas,pleno,2018-06-22,6,272.0,3.399,242401.28
911703,Clarice Albuquerque,vendas,pleno,2023-11-27,4,605.0,3.531,641774.584
564056,Luiz Gustavo Cirino,vendas,pleno,2021-02-13,3,5637.0,3.168,929808.077
719405,Luiz Otávio Camargo,vendas,pleno,2021-02-21,12,1378.0,0.7150000000000001,86465.45600000002
616597,Gabriela Vieira,vendas,pleno,2016-11-07,7,7408.0,0.5940000000000001,918216.365
336019,Elisa Costa,vendas,pleno,2020-10-22,12,1213.0,0.7480000000000001,838501.0480000001
703678,José Miguel Barros,vendas,pleno,2022-10-15,11,10330.0,2.0240000000000005,14064.424
691329,Catarina Macedo,vendas,pleno,2022-05-09,1,4951.0,4.686,486811.7650000001
523882,Luiz Miguel da Cunha,vendas,pleno,2021-09-14,13,4737.0,1.7160000000000002,427988.5390000001
59408,Sr. Samuel Azevedo,vendas,pleno,2018-12-07,13,2623.0,0.8250000000000001,30474.587
617313,Marcos Vinicius da Rocha,vendas,pleno,2018-01-21,7,9864.0,3.696,974291.285
142298,Larissa Siqueira,vendas,pleno,2019-04-06,9,5868.0,3.850000000000001,124257.48500000002
208852,Benjamin Borges,vendas,pleno,2019-08-17,11,5227.0,2.0240000000000005,338988.54000000004
28216,Dra. Raquel Barbosa,vendas,pleno,2017-05-22,2,2201.0,1.6830000000000005,633390.285
308138,Fernando Rezende,vendas,pleno,2020-10-31,14,486.0,0.7040000000000001,958847.5160000002
589533,Kamilly Ferreira,vendas,pleno,2022-08-30,10,7494.0,3.74,433586.78
728069,Ana Laura Nascimento,vendas,pleno,2022-01-27,11,1691.0,0.451,913769.153
74072,Gabrielly da Costa,vendas,pleno,2017-10-18,5,3304.0,5.0,752745.334
152160,Luna Ramos,vendas,pleno,2020-07-26,15,4396.0,2.827,797075.609
101393,Pedro Teixeira,vendas,pleno,2021-07-13,1,2835.0,1.87,390765.078
958190,Heloísa Alves,vendas,pleno,2020-08-08,9,1727.0,1.606,485669.701
333983,Sr. Fernando Sá,vendas,pleno,2022-01-24,11,4096.0,4.147,396707.751
827546,Ísis Aragão,vendas,pleno,2017-11-28,7,2362.0,0.429,744504.684
482956,Maria Vitória Moreira,vendas,pleno,2023-07-23,15,9823.0,1.4190000000000005,1035735.272
280509,Ana Liz Jesus,vendas,pleno,2017-07-07,9,6250.0,2.4530000000000003,930905.635
104495,Melissa Teixeira,vendas,pleno,2023-03-21,7,6113.0,3.828,537874.392
522246,Emilly Fogaça,vendas,pleno,2021-08-29,7,10692.0,2.068,661441.957
304114,Lunna Souza,vendas,pleno,2015-08-04,1,5420.0,3.872,666629.656
237708,Yasmin Borges,vendas,pleno,2016-08-29,7,10102.0,2.9260000000000006,347866.1560000001
305099,João Guilherme Machado,vendas,pleno,2019-03-10,12,899.0,3.146,27909.134
198078,Luiz Gustavo Rios,vendas,pleno,2020-04-17,6,2622.0,1.87,59876.14600000001
230885,Sophie Andrade,vendas,pleno,2016-12-05,1,5689.0,3.234,118807.249
18286,Daniel Peixoto,vendas,pleno,2021-05-22,3,108.0,1.9690000000000003,610160.7710000001
247828,Heloisa das Neves,vendas,pleno,2017-09-06,3,9322.0,1.353,215586.316
370174,Dr. Asafe Fonseca,vendas,pleno,2015-06-02,13,10297.0,1.6830000000000005,264164.923
527368,Mariane Oliveira,vendas,pleno,2022-01-20,13,9268.0,2.8160000000000003,708019.8400000001
420371,Ana Vitória Freitas,vendas,pleno,2017-03-01,7,3099.0,1.903,1096526.574
807200,Brenda Abreu,vendas,pleno,2023-12-30,7,9303.0,2.3540000000000005,1036122.758
507668,Sr. Luigi Rodrigues,vendas,pleno,2021-08-22,10,4950.0,3.0690000000000004,412170.187
547823,Théo Costa,vendas,pleno,2022-02-26,14,10377.0,0.055,891441.518
68620,Dra. Raquel Pastor,vendas,pleno,2019-10-07,8,2740.0,4.95,806568.345
501895,Diego Marques,vendas,pleno,2023-01-11,2,7373.0,2.552,507492.70000000007
140771,Vitor Araújo,vendas,pleno,2019-02-20,11,3939.0,1.1880000000000002,37889.335
119517,Manuela Rezende,vendas,pleno,2016-04-10,11,306.0,0.077,902579.205
450082,Sra. Eloah Sampaio,vendas,pleno,2022-03-12,10,2248.0,0.209,1015750.054
800607,Manuella Moreira,vendas,pleno,2021-11-13,4,7975.0,1.7160000000000002,793841.1470000001
373365,Lorena Cardoso,vendas,pleno,2020-07-11,6,9486.0,2.651,1046114.509
38737,Maria Fonseca,vendas,pleno,2015-08-14,5,10253.0,0.8910000000000001,839245.946
273302,Ana Júlia Nascimento,vendas,pleno,2018-03-29,1,942.0,0.682,70688.68400000001
210743,Lavínia Araújo,vendas,pleno,2023-08-08,9,4970.0,3.773000000000001,956838.377
436738,Maria Montenegro,vendas,pleno,2021-08-02,11,4706.0,5.0,1023928.95
993737,Nicole da Cunha,vendas,pleno,2017-07-09,4,10506.0,2.651,594734.7010000001
381483,Arthur Miguel Pacheco,vendas,pleno,2016-06-21,15,10454.0,2.3540000000000005,925826.099
277605,Dr. Henrique Oliveira,vendas,pleno,2020-08-21,3,698.0,4.994000000000001,874747.3130000001
198723,Ana Clara Moura,vendas,pleno,2020-07-22,9,9417.0,1.1880000000000002,147628.81100000002
766919,Gael Henrique Gonçalves,vendas,pleno,2019-11-14,13,10001.0,4.279000000000001,160962.59300000002
73655,Beatriz Pastor,vendas,pleno,2015-05-11,7,108.0,2.079,1065650.8390000002
838557,Vitor Hugo Mendonça,vendas,pleno,2022-03-07,13,6991.0,0.473,336227.65
713264,Enrico Fonseca,vendas,pleno,2018-04-18,8,7447.0,5.0,150071.21800000002
862840,Dr. Kevin Silva,vendas,pleno,2021-08-01,5,9719.0,3.905,121732.204
759000,Natália da Mota,vendas,pleno,2015-06-29,10,3966.0,4.455,817225.2220000001
711703,Brenda Silveira,vendas,pleno,2015-01-21,15,430.0,0.8140000000000001,971962.717
300424,Maria Clara Novais,vendas,pleno,2019-10-31,14,9607.0,0.286,1078026.026
106677,Liz Monteiro,vendas,pleno,2022-04-28,15,2548.0,3.993,405504.01100000006
981111,Alexia da Luz,vendas,pleno,2016-09-14,14,4224.0,0.6050000000000001,14907.266
805433,Lavínia Teixeira,vendas,pleno,2015-06-10,5,8356.0,4.906000000000001,897011.4120000001
340517,Maria Liz Freitas,vendas,pleno,2019-04-17,15,5064.0,4.598,606650.4290000001
996944,Leonardo Nunes,vendas,pleno,2019-08-06,6,9211.0,4.785,33204.303
668420,João Pedro Silva,vendas,pleno,2022-01-29,5,3450.0,5.0,177619.72800000003
883066,Marina da Conceição,vendas,pleno,2016-02-27,15,9449.0,2.2,942701.056
224536,Esther Sales,vendas,pleno,2016-02-08,13,10271.0,2.75,348048.62400000007
240784,Dom Machado,vendas,pleno,2023-08-18,9,4712.0,0.968,654380.9910000002
185881,Marina Martins,vendas,pleno,2019-12-30,14,359.0,0.143,869561.143
543225,Ryan Casa Grande,vendas,pleno,2018-11-17,2,9946.0,2.849,481141.74900000007
804579,Sr. Benjamin Aparecida,vendas,pleno,2015-09-09,11,2241.0,0.517,481163.144
247723,Lucas Gabriel Cassiano,vendas,pleno,2023-03-24,13,2131.0,4.620000000000001,798943.8820000001
749410,Maria Fernanda Vieira,vendas,pleno,2016-08-14,8,1107.0,4.378,455119.643
933134,Antony Porto,vendas,pleno,2021-05-27,5,1903.0,3.784,976046.379
672475,Daniela Monteiro,vendas,pleno,2023-01-22,14,10314.0,0.561,246415.796
975764,Breno Rezende,vendas,pleno,2015-01-03,12,6143.0,4.796000000000001,725428.8580000001
437060,Sr. Heitor Mendes,vendas,pleno,2018-03-03,9,1942.0,1.518,668192.9430000001
930745,Henrique da Cruz,vendas,pleno,2021-09-07,7,2491.0,3.4100000000000006,787405.652
379216,Benjamim Oliveira,vendas,pleno,2022-12-27,1,9694.0,0.935,836286.8250000001
377639,Giovanna Leão,vendas,pleno,2016-12-05,9,10199.0,0.8140000000000001,749015.377
299574,Dra. Allana Santos,vendas,pleno,2016-04-06,1,3363.0,2.365,726278.6410000002
273513,Erick Aragão,vendas,pleno,2017-11-15,9,1514.0,4.829,863789.6300000001
449475,Gustavo Henrique Vasconcelos,vendas,pleno,2018-10-31,2,1492.0,3.047,331168.49700000003
645857,Sra. Ana Lívia Pacheco,vendas,pleno,2015-09-13,14,4450.0,5.0,902298.056
260466,Dra. Hadassa Siqueira,vendas,pleno,2018-08-18,10,5285.0,1.595,110021.659
36236,Bianca Campos,vendas,pleno,2018-07-21,2,8635.0,3.619,1015824.634
580991,Nina Souza,vendas,pleno,2019-12-04,15,8397.0,3.333,924747.296
389148,Ana Júlia Rezende,vendas,pleno,2016-11-14,11,1184.0,2.475,146538.30400000003
542080,Sr. Yago Barbosa,vendas,pleno,2019-10-04,5,5583.0,3.575,474667.116
196190,Bryan da Cunha,vendas,pleno,2016-02-14,2,7714.0,3.0250000000000004,127141.52
707883,Srta. Sofia da Rosa,vendas,pleno,2017-08-13,11,1426.0,2.189,723341.102
709776,Elisa Freitas,vendas,pleno,2023-01-14,10,10233.0,5.0,28088.819000000003
688989,João Miguel Teixeira,vendas,pleno,2015-01-26,10,5618.0,4.29,559000.4970000001
598776,Paulo Brito,vendas,pleno,2022-12-08,6,7665.0,1.331,322731.079
788318,Matheus Marques,vendas,pleno,2022-12-16,12,2234.0,5.0,628281.6760000001
240634,Dra. Ana Cecília da Conceição,vendas,pleno,2020-09-02,4,1104.0,3.883,573426.48
962971,Benício Castro,vendas,pleno,2018-06-28,10,7348.0,2.6950000000000003,693030.25
220504,Ian da Costa,vendas,pleno,2017-08-03,7,10519.0,3.63,382336.438
276236,Alexandre da Costa,vendas,pleno,2019-11-24,1,3646.0,1.1880000000000002,806667.785
712799,Léo da Cunha,vendas,pleno,2020-12-30,4,2465.0,5.0,437083.482
874559,Luiz Fernando Barbosa,vendas,pleno,2020-02-26,12,5075.0,2.651,610287.964
425843,Marcela da Mata,vendas,pleno,2021-12-15,7,9409.0,4.235,380590.716
792296,Henrique Santos,vendas,pleno,2022-09-06,10,3011.0,1.9250000000000005,375597.739
123792,Ana Luiza da Cunha,vendas,pleno,2016-12-10,12,9719.0,0.979,324425.5740000001
401126,Olivia Rios,vendas,pleno,2023-12-26,1,7714.0,3.4650000000000003,956262.01
99404,Isabelly Peixoto,vendas,pleno,2023-12-17,3,5230.0,1.848,993277.857
674675,Raquel Pacheco,vendas,pleno,2017-11-15,7,8721.0,0.781,380712.69500000007
257180,Nicole Gonçalves,vendas,pleno,2022-09-10,5,8.0,0.8140000000000001,971250.214
788806,Theodoro Gomes,vendas,pleno,2020-02-03,4,1098.0,3.0250000000000004,433452.03
501072,Mariana Vargas,vendas,pleno,2020-03-30,13,1413.0,4.202,146878.897
404953,Ana Beatriz Cavalcante,vendas,pleno,2015-11-16,13,7547.0,0.561,948713.128
697639,Maria Vitória Machado,vendas,pleno,2015-08-03,1,7191.0,3.685000000000001,464702.77700000006
752271,Leandro Barbosa,vendas,pleno,2018-03-06,11,5638.0,3.993,371550.014
951474,Catarina Mendonça,vendas,pleno,2019-09-06,8,3746.0,1.903,488821.366
533912,Allana Vasconcelos,vendas,pleno,2022-08-02,15,4060.0,4.807,192732.089
687004,Rafael Lopes,vendas,pleno,2020-08-02,2,2311.0,0.539,706239.127
760622,Eduardo Barros,vendas,pleno,2020-07-21,14,1720.0,4.213,864392.243
590809,João Santos,vendas,pleno,2021-07-15,14,10749.0,4.026000000000001,906741.77
455163,Arthur Gabriel Melo,vendas,pleno,2017-07-23,4,279.0,4.774,939606.921
253885,Henry Lopes,vendas,pleno,2016-06-14,14,3964.0,1.7050000000000003,71836.16
757537,Sra. Alícia Gomes,vendas,pleno,2019-12-20,12,1896.0,5.0,1061830.209
321580,Davi Miguel da Cunha,vendas,pleno,2015-04-17,13,5040.0,5.0,289491.07000000007
542971,Bárbara da Mota,vendas,pleno,2019-05-24,12,6803.0,0.418,102700.037
663026,Melissa Silva,vendas,pleno,2021-01-20,6,5944.0,0.429,762518.9660000001
875932,Alexia Aragão,vendas,pleno,2019-11-23,11,2367.0,2.486,592235.27
412859,Isaque Pinto,vendas,pleno,2018-02-05,7,6314.0,5.0,426196.2540000001
133616,Dr. Kevin Martins,vendas,pleno,2015-09-22,10,10285.0,0.5940000000000001,751335.2550000001
817680,Maria Júlia Rezende,vendas,pleno,2018-01-13,15,2071.0,2.2220000000000004,394153.551
498317,Raul da Paz,vendas,pleno,2020-10-14,12,731.0,2.9480000000000004,184103.414
788761,Erick Rios,vendas,pleno,2016-09-06,7,5082.0,4.961,62070.97600000001
478928,Luiz Fernando Rezende,vendas,pleno,2017-10-28,6,5561.0,1.243,689934.993
50146,Dr. Ian Fernandes,vendas,pleno,2019-06-02,1,10990.0,4.851000000000001,404885.91
792014,Allana Pacheco,vendas,pleno,2018-05-03,7,1375.0,3.443,228911.01200000005
746906,Srta. Bárbara Novaes,vendas,pleno,2017-09-01,14,1195.0,3.586,330352.297
704460,Cecilia Mendes,vendas,pleno,2022-11-10,4,9378.0,1.7270000000000003,991984.136
581955,Mariah da Conceição,vendas,pleno,2021-09-11,1,4187.0,4.972,418018.623
788792,Dr. Diego Nunes,vendas,pleno,2021-02-25,2,8707.0,1.287,54998.493
299410,Kevin da Rosa,vendas,pleno,2017-05-01,4,2033.0,0.033,193436.001
312412,Benicio Moraes,vendas,pleno,2019-06-09,6,4196.0,4.785,164322.323
637645,Camila Marques,vendas,pleno,2022-05-20,10,8705.0,3.641000000000001,190057.94500000004
18275,Ana Carolina Monteiro,vendas,pleno,2016-09-25,8,10575.0,0.363,355610.75
259316,Pietro Rodrigues,vendas,pleno,2017-04-25,2,6935.0,3.762,471897.173
606005,Rebeca Sá,vendas,pleno,2017-09-25,14,2712.0,3.487,359935.818
657633,Sr. Lorenzo Marques,vendas,pleno,2015-11-02,13,6884.0,3.058,653229.577
142423,Sra. Olivia Rios,vendas,pleno,2020-08-31,12,6078.0,2.0240000000000005,346795.603
993741,Luara Cavalcante,vendas,pleno,2021-01-20,2,4896.0,4.004,1057329.2400000002
45786,Olívia Leão,vendas,pleno,2017-11-21,15,2368.0,1.045,465482.226
921933,Rodrigo Andrade,vendas,pleno,2021-02-27,13,1559.0,2.508,1025470.204
432250,Maria Vitória Ferreira,vendas,pleno,2015-07-29,14,2774.0,0.5060000000000001,269928.472
780925,Arthur Gabriel Mendes,vendas,pleno,2021-06-24,12,5457.0,4.367000000000001,472970.806
681340,Samuel Nogueira,vendas,pleno,2018-10-21,11,660.0,4.3340000000000005,124027.83800000002
979109,Cauã Peixoto,vendas,pleno,2020-05-09,8,8813.0,1.034,522235.505
894370,Maria Alice Moraes,vendas,pleno,2017-02-15,4,5647.0,5.0,622773.1510000001
48335,Esther Carvalho,vendas,pleno,2022-05-08,12,6597.0,2.299,617855.337
829997,Antonella da Mata,vendas,pleno,2018-01-07,15,3886.0,1.5070000000000003,786427.158
822104,Eduardo Borges,vendas,pleno,2023-07-07,15,6604.0,2.5850000000000004,26703.578
2915,Srta. Maria Helena Brito,vendas,pleno,2023-01-14,5,3063.0,5.0,251997.53700000004
809406,Olívia Sousa,vendas,pleno,2017-04-10,1,9409.0,4.213,564570.501
509517,Carlos Eduardo Rios,vendas,pleno,2018-04-17,11,10555.0,1.353,160091.217
786542,Sr. Vitor Pacheco,vendas,pleno,2022-06-10,15,4114.0,1.9250000000000005,1000331.233
841651,Gustavo Henrique Cirino,vendas,pleno,2015-06-07,4,133.0,0.7260000000000001,460213.46800000005
676287,Sra. Alice Gonçalves,vendas,pleno,2019-01-27,15,10313.0,0.649,259250.55200000005
874592,Sr. Benjamim Guerra,vendas,pleno,2023-04-18,12,7329.0,1.1550000000000002,507415.4360000001
960275,Dra. Maria Sophia Sá,vendas,pleno,2020-05-28,5,7484.0,4.719,818457.706
674791,Cauê Moura,vendas,pleno,2018-03-24,13,10605.0,3.245000000000001,319212.619
949170,João Gabriel Fonseca,vendas,pleno,2019-07-29,15,9125.0,2.299,509897.388
271197,Marcos Vinicius Vieira,vendas,pleno,2017-06-19,5,10877.0,1.1770000000000005,727417.449
527157,Anna Liz da Cruz,vendas,pleno,2017-04-06,14,7312.0,5.0,765497.4580000001
673845,Sarah da Conceição,vendas,pleno,2018-08-02,11,6023.0,0.33,232108.272
220835,Beatriz Lopes,vendas,pleno,2015-10-04,15,2773.0,1.342,1053446.856
930820,Dr. Rafael Aragão,vendas,pleno,2016-04-09,6,8988.0,1.1880000000000002,452989.9
429657,Jade Martins,vendas,pleno,2023-05-15,9,2522.0,4.466,292754.11
587103,Thiago Rocha,vendas,pleno,2019-08-20,2,3250.0,4.246,511355.2290000001
846065,Dra. Júlia Alves,vendas,pleno,2017-05-10,13,8619.0,2.9700000000000006,408693.45
756641,Stephany Rocha,vendas,pleno,2018-06-04,3,4065.0,0.264,341139.00700000004
